"ASSET_PROP_REF","ASSET_NAME","ASSET_TOWN","BUILDING_YEAR_FROM","BUILDING_HEIGHT_MAX","BUILDING_CAR_PARKING_TOTAL","BUILDING_LOADING_DOCK_TOTAL","BUILDING_CROSS_DOCKED","BUILDING_HEATING","BUILDING_LIGHTING","BUILDING_SPRINKLERS","BUILDING_RACKING","BUILDING_AMBIENT","BUILDING_CHILLED","BUILDING_FROZEN","ASSET_DESCRIPTION","DEMISE_TOTAL_VACANT_SQF","DEMISE_TOTAL_VACANT_SQM","WH_TOTAL_VACANT_SQF","WH_TOTAL_VACANT_SQM","OFFICE_TOTAL_VACANT_SQF","OFFICE_TOTAL_VACANT_SQM","LOCATION_COUNTRY","LOCATION_LONGITUDE","LOCATION_LATITUDE"
"1016","WA248, Western Approach, Bristol","Bristol","1998","14","166","23","No","Yes","Yes","Yes","No","No","No","No","Western Approach Distribution Park is already home to a number of blue chip companies and is situated in the south west's premier logistics location. Located between junction 1 of the M48 and Junction 18 of the M5, with frontage to the M49, this well established park offers direct access to the UK's extensive motorway network. Bristol International Airport lies 18 miles to the south and Bristol's Avonmouth and Royal Portbury Docks are located within 6 miles. The South West has a population of 5.3 million, showing an increase of 6.7% over a 9 year period compared to the national increase of 5.3%. The building is undergoing an extensive refurbishment which will complete in 2018. It features a yard depth of 60m and an eaves height of 12.5m. For further details please go to: www.westernapproach.co.uk","243590","22630.3416419","235150","21846.2368615","8440","784.1047804","UK","-2.6491940000","51.5533610000"
"1049","Blois","BLOIS","1966","7.2","50","86","Yes","Yes","Yes","No","No","No","No","No","The property is located in the northern part of town, within the Parc d'Activités de Blois Nord Villebarou with easy access from and to nearby A10 motorway. Built in the 1960s, the industrial area totals 230ha. The site is located on an important road, with good visibility and accessibility. Located on a site of 53,896 sqm, the site of Blois offers a total of 14,555 sqm. The building has two vacant units, with 40 doors with docks, 20 car parking places and 20 seats truck parking places.","62355.0847057174758170878765375781147323","5793","49158.5830918369950037356002325425945076","4567","11194.422249947553055372240911286248804","1040","France","1.3083398000","47.6104370000"
"1050","Forges les Bains (Dourdan)","DOURDAN","1991","8","26","54","Yes","No","Yes","No","No","No","No","No","Forming part of Limours, Forges les Bains is located 30km Southwest of Paris in Essonne, which is about 10kms South of the ZA of Courtaboeuf. The ZA de Bajolet is located south of Forges les Bains, about 4.5kms from the city center and close to the A10 motorway, with the building visible from it. With a land plot of 13,800 sqm, the site of Forges has a single cross dock unit of 4,560 sqm, of which 712 sqm is offices and social premises.","49083.2360190008095504782870725627832175","4560","41419.3623248059463048772913717591205748","3848","7663.87369419486324560099570080366264274","712","France","2.0696511000","48.6042948000"
"1055","Louailles (Ouest Park)","SABLE-SUR-SARTHE","2010","9.6","134","40","No","Yes","Yes","Yes","Yes","No","No","No","The building is located in the West Park business park of Louailles. The park has an excellent location between the Brittany and Pays de Loire region. The asset is an HQE grade A logistics building built in 2010 with a total surface area of 31,545 sqm spread over 5 units. The warehouse has 7 dock doors per unit, 1 level door per unit and a charging room. ICPE Permitted rubrics 1510-1 / 1530/2662-A / 2663-1 / 2663-2 / 2910 / 2925.","132863.583801714059796082834849657294603","12343.48","125937.035034559011343071260785798928156","11699.98","2755.55009229478229055316699354738432099","256","France","-.2363153000","47.7854187000"
"1069","Isle d'Abeau 16 + 17","VAULX MILIEU","1989","11.5","814","143","No","Yes","Yes","Yes","Yes","No","No","No","In an enclosed, well -established logistics site with 24hr security, the units are fitted with equipment adapted to the needs of consignors and logistics companies.
The asset is located close to a junction on the Thone-Alpes motorway network, providing good access to French and European supply chain routes.
The building comprises nine dock level doors and one level access door.
ICPE use permits: 1510, 1530, 1532, 2662, 2663-1, 2663-2.","31258.2713594689366084624880830531408912","2904","0","0","22227.3864866747087109073821940443305579","2065","France","5.1720720000","45.6218220000"
"1070","Vatry 1","BUSSY LETTREE","2000","9.9","180","57","No","Yes","Yes","Yes","Yes","No","No","No","The building is located in Bussy-Lettrée, which is easily accessible from the main cities of the Champagne-Ardennes region and Paris (150km). It has direct access to the motorway network (A26 & A4) and is located in the Europort of Vatry, within close proximity to the airport. Built in 2001, this class A building of 42,159 sqm spread across 4 units of 90 x 110m, sits on a plot of land of of 91,355 sqm. The building comprises 2,140 sqm of offices and 40026 sqm of warehouses and technical premises. The warehouse includes 11 dock doors, 1 level door and an external charging room. ICPE authorizations 1510-1 / 1530 / 2662; ICPE declaration 2625.","48512.7510389554054043872017184299263073","4507","48512.7510389554054043872017184299263073","4507","0","0","France","4.2000420000","48.7851000000"
"1080","Le Havre 2","ROGERVILLE","1998","9.5","10","9","No","Yes","Yes","Yes","Yes","No","No","No","","83850.52819912638298206707374896142133","7790","81762.3378948092432775072518866637941492","7596","731.942993265801545928184982661023960262","68","France",".2610840000","49.4751160000"
"1089","Myslowice","Myslowice","2009","10","144","34","No","Yes","Yes","Yes","No","No","No","No","Logicor Mysłowice is located in Upper Silesia in Poland, along the S1 expressway, 2km from the junction of the A4 motorway and the S1 expressway. The drive from the park to Katowice, via the A4 motorway, takes about 10 minutes, while the route to the International Airport, at Katowice in Pyrzowice, takes about 30 minutes. 
The park's location provides ideal conditions for domestic and international distribution and being located within Mysłowice city limits offers easy access to a highly skilled workforce.","4533.09517917587739782640917055681809742","421.14","0","0","4533.09517917587739782640917055681809742","421.14","Poland","19.1693630000","50.1918980000"
"1100","Piaseczno","Piaseczno","2005","10","263","58","Yes","Yes","Yes","Yes","No","No","No","No","Logicor Piaseczno is located 15 kilometres south of Warsaw city centre, 7 km from Okęcie Airport, in the vicinity of A2 motorway and the bypass of Warsaw. Warehouse and offi ce complex is located within the city Piaseczno with easy access via public transport from Warsaw (line 709 on Wilanowska Metro station), Konstancin Jeziorna and Góra Kalwaria.","50246.3795462405524189047527964796986461","4668.06","32644.1193062773476237309265612532414041","3032.75","17602.260239963204795173826235226457242","1635.31","Poland","21.0075420000","52.0773250000"
"1106","Strykow","Stryków","2008","10","220","154","Yes","Yes","Yes","Yes","No","No","No","No","Logicor Stryków is located in central Poland, just 5 km from the intersection of the A1 and A2 motorways. The Park is located on route 71, right next to the “Stryków” junction which links the A2 motorway with national road 14. The distance from the Park to the centre of Łódz is 15 km which provides easy access to a skilled workforce.The offered area is the entire Building No. 3 with a total area of
50 600 m2. The building also includes a covered roof with an area of over 5 000 m2 where additional storage of goods is possible. Space is available from January 2019.","544695.829787087470739771554133481214522","50604.1","530811.517036888097003113233410915702664","49314.2","13884.312750199373736658320722565511858","1289.9","Poland","19.5696670000","51.8810280000"
"1109","Myslowice","Mysłowice","2012","10","110","38","No","Yes","Yes","Yes","No","Yes","No","Yes","Logicor Mysłowice is localized in Mysłowice, on the road S1, 2 kms from the transport node connecting A4, E40 and S1 roads. Convenient location allows for excellent visibility of the park from the route. The drive from the park to Katowice via A4 highway takes about 10 minutes, and the travel to Katowice International Airport in Pyrzowice takes about 30 minutes. 
Warehouse space on offer is a cold store situated in Building #4. Guaranteed temperature within is 4 degrees Celsius (+/- 2 degrees).","97111.6130182950227553541899054082083747","9022","93473.4257870620680123582116092401775133","8684","3638.1872312329547429959782961680308613","338","Poland","19.1748060000","50.1946920000"
"1122","Alcala Garena","Madrid","2001","9","314","50","No","No","Yes","Yes","No","No","No","No","Available from September 2018","59298.1463220779517135054569041114852512","5509","50579.413608176492122302076963590464548","4699","7448.59634323433337915152952943277324266","692","Spain","-3.4070400000","40.4788490000"
"1139","Castel San Pietro Terme","Bologna","2005","9.5","205","37","No","Yes","Yes","Yes","Yes","No","No","No","","350902.082065663682312629859334549722125","32600","337694.816584235175005955109720945657431","31373","13207.2654814285073066747496136040646947","1227","Italy","11.5856250000","44.3967337000"
"1148","Garonor Aulnay - Building 1","AULNAY SOUS BOIS","1971","5.5","76","131","No","Yes","Yes","Yes","Yes","No","No","No","Garonor Aulnay’s logistic parc offers several services dedicated to residents such as a 24/7 fire safety officer, CCTV access controls, permanent maintenance of gardened areas and service roads, and a canteen for employees.

In addition to being close to O’Parinor and Paris Nord II shopping centre, the park is at the fork between the A1 and the A3, which is a strategic situation for access, via the A86 and the A104, to the entire Ile-de-France region.

Just 12 km from Paris and less than 10 min from Paris-Charles-de-Gaulle international airport, Garonor Aulnay benefits from good public transport services. Two other advantages of Garonor Aulnay are its proximity to the TGV station at Charles-de-Gaulle airport, which is the busiest airport in continental Europe, and its rail link to Bourget-Drancy marshaling yard.

To further enhance transport possibilities, from 2017, services will start on a new east-west rail link that crosses the northern suburbs, connecting at Le Bourget.","51053.0237802896578284909025406064212282","4743","17523.5763681871311289865463495903971663","1628","12152.4064617219109610723653738867066343","1129","France","2.4664460000","48.9557060000"
"1160","Garonor Aulnay - Building 13","AULNAY SOUS BOIS","1973","10","91","76","No","Yes","Yes","No","Yes","No","No","No","Garonor Aulnay’s logistic parc offers several services dedicated to residents such as a 24/7 fire safety officer, CCTV access controls, permanent maintenance of gardened areas and service roads, and a canteen for employees.

In addition to being close to O’Parinor and Paris Nord II shopping centre, the park is at the fork between the A1 and the A3, which is a strategic situation for access, via the A86 and the A104, to the entire Ile-de-France region.

Just 12 km from Paris and less than 10 min from Paris-Charles-de-Gaulle international airport, Garonor Aulnay benefits from good public transport services. Two other advantages of Garonor Aulnay are its proximity to the TGV station at Charles-de-Gaulle airport, which is the busiest airport in continental Europe, and its rail link to Bourget-Drancy marshaling yard.

To further enhance transport possibilities, from 2017, services will start on a new east-west rail link that crosses the northern suburbs, connecting at Le Bourget.","20106.9045797134895263801404060410699672","1868","0","0","9848.93880644424139006307734021819005352","915","France","2.4705650000","48.9573900000"
"1171","Garonor Cergy - Building 1 bis","ST OUEN L AUMONE","1990","9.5","27","50","No","Yes","Yes","Yes","No","No","No","No","Cergy Logistic park is an efficient logistics Platform with more than 90,000 sqm to the north west of Paris.

Garonor Cergy has a facade overlooking the A15 motorway, which connects Paris and the A86 to Vexin, Rouen, Pont de Tancarville then on to Le Havre. The N184 is within easy reach and provides rapid access to Saint-Germain-en-Laye and the A16, which is known as the «European» because it is major route for the distribution of goods between L’Isle-Adam and logistics centres in the north of France.

By public transport the sector is served by the RER C line, «Saint-Ouen l’Aumône-Liesse» that runs from Pontoise to Saint-Martin d’Etampes, via Paris.","25230.505532574100347877435284668237689","2344","21646.1376390812780714938235313429291778","2011","0","0","France","2.1204550000","49.0278490000"
"1173","Garonor Cergy - Building 3","HERBLAY","1990","9.5","73","45","No","No","Yes","No","Yes","No","No","No","Cergy Logistic park is an efficient logistics Platform with more than 90,000 sqm to the north west of Paris.

Garonor Cergy has a facade overlooking the A15 motorway, which connects Paris and the A86 to Vexin, Rouen, Pont de Tancarville then on to Le Havre. The N184 is within easy reach and provides rapid access to Saint-Germain-en-Laye and the A16, which is known as the «European» because it is major route for the distribution of goods between L’Isle-Adam and logistics centres in the north of France.

By public transport the sector is served by the RER C line, «Saint-Ouen l’Aumône-Liesse» that runs from Pontoise to Saint-Martin d’Etampes, via Paris.","12087.8232564337520011375255224754398143","1123","0","0","0","0","France","2.1212530000","49.0271120000"
"1179","Garonor Senart - Building 5","COMBS LA VILLE","1993","9.5","30","86","No","No","Yes","No","No","No","No","No","The logistic park of Garonor Senart offers numerous benefits such as a security guard 24/7, and HGV service station, vast landscaped areas and the proximity to Carré Sénart shopping centre.
The growth in logistics activities in Sénart results from the territory’s intrinsic qualities and its exceptional accessibility to the country’s largest consumer basin.
The orbital Francilienne motorway (N104) and the A5 provide links to the country’s major road arteries – A6 , A10, A4 and A1 – and to the international airports of Paris-Orly (20’) and Paris-Charles-de-Gaulle (40’).
By public transport, Lieusaint is served by the RER D line (Creil, Paris, Melun) plus a network of bus routes. A new green bus, T Zen, with a high level of services, runs from Lieusaint to Corbeil crossing several suburbs.
Finally, bicycles are available at municipal hire stations for local journeys.","3164.57705911978903680715271915207418113","294","0","0","1259.37250311909971872937710251970299045","117","France","2.5580380000","48.6457640000"
"1190","Kraków","Skawina","2008","10","99","35","No","Yes","Yes","Yes","No","No","No","No","Logicor Krakow is located in Skawina, 10 kilometres from Krakow city centre on national road 44.  It is 800 metres from the A4 junction which connects Krakow with Silesia/Wroclaw and Germany.  Public transport infrastructure guarantees easy transport access for the parks employees.

Kraków - vacant unit","38584.0519739802876988045971617188217311","3584.59","37755.2341727822477129741524019408975408","3507.59","828.817801198039985830444759777924190296","77","Poland","19.8436610000","49.9928940000"
"1194","Prague Airport","Dobroviz","2009","10","472","84","No","Yes","Yes","Yes","No","Yes","Yes","No","","390239.066574628423219341464430638229533","36254.54","335289.092187251253748382325255875968385","31149.5","54949.9743873771694709591391747622611485","5105.04","Czech Republic","14.2131460000","50.1085700000"
"1202","Site C, Milton Keynes","Milton Keynes","2005","12","190","26","No","No","No","No","No","Yes","Yes","No","MK360 is located south west of Milton Keynes Centre, at the junction with Standing Way (A421) which is a major east-west dual carriageway linking the M1 motorway to the East and the M40 motorway to the West. The unit benefits from 12m eaves, a 55m deep yard and is currently fully fitted with sprinklers, chilled and ambient temperature controlled storage and is fully racked. There is power of 2MVA serving the unit. For further details please go to: www.MK360.co.uk","360214","33465.10892974","355220","33001.1493002","4994","463.95962954","UK","-.7894720000","51.9900614000"
